CITY,UF,IGR,CITY_STANDARD
Bonito de Santa Fé,PB,Cajazeiras,BONITO DE SANTA FE
Boqueirão,PB,Campina Grande,BOQUEIRAO
Borborema,PB,Guarabira,BORBOREMA
Brejo do Cruz,PB,Catolé do Rocha - São Bento,BREJO DO CRUZ
Brejo dos Santos,PB,Catolé do Rocha - São Bento,BREJO DOS SANTOS
Caaporã,PB,João Pessoa,CAAPORA
Cabaceiras,PB,Campina Grande,CABACEIRAS
Cabedelo,PB,João Pessoa,CABEDELO
Cachoeira dos Índios,PB,Cajazeiras,CACHOEIRA DOS INDIOS
Cacimba de Areia,PB,Patos,CACIMBA DE AREIA
Cacimba de Dentro,PB,Guarabira,CACIMBA DE DENTRO
Cacimbas,PB,Patos,CACIMBAS
Caiçara,PB,Guarabira,CAICARA
Cajazeiras,PB,Cajazeiras,CAJAZEIRAS
Cajazeirinhas,PB,Pombal,CAJAZEIRINHAS
Caldas Brandão,PB,João Pessoa,CALDAS BRANDAO
Camalaú,PB,Monteiro,CAMALAU
Campina Grande,PB,Campina Grande,CAMPINA GRANDE
Capim,PB,Mamanguape - Rio Tinto,CAPIM
Caraúbas,PB,Campina Grande,CARAUBAS
Carrapateira,PB,Cajazeiras,CARRAPATEIRA
Casserengue,PB,Guarabira,CASSERENGUE
Catingueira,PB,Patos,CATINGUEIRA
Catolé do Rocha,PB,Catolé do Rocha - São Bento,CATOLE DO ROCHA
Caturité,PB,Campina Grande,CATURITE
Conceição,PB,Itaporanga,CONCEICAO
Condado,PB,Pombal,CONDADO
Conde,PB,João Pessoa,CONDE
Congo,PB,Sumé,CONGO
Coremas,PB,Patos,COREMAS
Coxixola,PB,Sumé,COXIXOLA
Cruz do Espírito Santo,PB,João Pessoa,CRUZ DO ESPIRITO SANTO
Cubati,PB,Campina Grande,CUBATI
Cuité,PB,Cuité - Nova Floresta,CUITE
Cuité de Mamanguape,PB,João Pessoa,CUITE DE MAMANGUAPE
Cuitegi,PB,Guarabira,CUITEGI
Curral de Cima,PB,Mamanguape - Rio Tinto,CURRAL DE CIMA
Curral Velho,PB,Itaporanga,CURRAL VELHO
Damião,PB,Cuité - Nova Floresta,DAMIAO
Desterro,PB,Patos,DESTERRO
Diamante,PB,Itaporanga,DIAMANTE
Dona Inês,PB,Guarabira,DONA INES
Duas Estradas,PB,Guarabira,DUAS ESTRADAS
Emas,PB,Patos,EMAS
Esperança,PB,Campina Grande,ESPERANCA
Fagundes,PB,Campina Grande,FAGUNDES
Frei Martinho,PB,Cuité - Nova Floresta,FREI MARTINHO
Gado Bravo,PB,Campina Grande,GADO BRAVO
Guarabira,PB,Guarabira,GUARABIRA
Gurinhém,PB,João Pessoa,GURINHEM
Gurjão,PB,Campina Grande,GURJAO
Ibiara,PB,Itaporanga,IBIARA
Igaracy,PB,Itaporanga,IGARACY
Imaculada,PB,Patos,IMACULADA
Ingá,PB,Campina Grande,INGA
Itabaiana,PB,Itabaiana,ITABAIANA
Itaporanga,PB,Itaporanga,ITAPORANGA
Itapororoca,PB,Mamanguape - Rio Tinto,ITAPOROROCA
Itatuba,PB,Campina Grande,ITATUBA
Jacaraú,PB,Mamanguape - Rio Tinto,JACARAU
Jericó,PB,Catolé do Rocha - São Bento,JERICO
João Pessoa,PB,João Pessoa,JOAO PESSOA
Joca Claudino,PB,Sousa,JOCA CLAUDINO
Juarez Távora,PB,João Pessoa,JUAREZ TAVORA
Juazeirinho,PB,Campina Grande,JUAZEIRINHO
Junco do Seridó,PB,Campina Grande,JUNCO DO SERIDO
Juripiranga,PB,João Pessoa,JURIPIRANGA
Juru,PB,Princesa Isabel,JURU
Lagoa,PB,Pombal,LAGOA
Lagoa de Dentro,PB,Guarabira,LAGOA DE DENTRO
Lagoa Seca,PB,Campina Grande,LAGOA SECA
Lastro,PB,Sousa,LASTRO
Livramento,PB,Sumé,LIVRAMENTO
Logradouro,PB,Guarabira,LOGRADOURO
Lucena,PB,João Pessoa,LUCENA
Mãe d'Água,PB,Patos,MAE DAGUA
Malta,PB,Patos,MALTA
Mamanguape,PB,Mamanguape - Rio Tinto,MAMANGUAPE
Manaíra,PB,Princesa Isabel,MANAIRA
Marcação,PB,Mamanguape - Rio Tinto,MARCACAO
Mari,PB,João Pessoa,MARI
Marizópolis,PB,Sousa,MARIZOPOLIS
Massaranduba,PB,Campina Grande,MASSARANDUBA
Mataraca,PB,Mamanguape - Rio Tinto,MATARACA
Matinhas,PB,Campina Grande,MATINHAS
Mato Grosso,PB,Catolé do Rocha - São Bento,MATO GROSSO
Maturéia,PB,Patos,MATUREIA
Mogeiro,PB,Itabaiana,MOGEIRO
Montadas,PB,Campina Grande,MONTADAS
Monte Horebe,PB,Cajazeiras,MONTE HOREBE
Monteiro,PB,Monteiro,MONTEIRO
Mulungu,PB,Guarabira,MULUNGU
Natuba,PB,Itabaiana,NATUBA
Nazarezinho,PB,Sousa,NAZAREZINHO
Nova Floresta,PB,Cuité - Nova Floresta,NOVA FLORESTA
Nova Olinda,PB,Itaporanga,NOVA OLINDA
Nova Palmeira,PB,Cuité - Nova Floresta,NOVA PALMEIRA
Olho d'Água,PB,Patos,OLHO DAGUA
Olivedos,PB,Campina Grande,OLIVEDOS
Ouro Velho,PB,Monteiro,OURO VELHO
Parari,PB,Sumé,PARARI
Passagem,PB,Patos,PASSAGEM
Patos,PB,Patos,PATOS
Paulista,PB,Pombal,PAULISTA
Pedra Branca,PB,Itaporanga,PEDRA BRANCA
Pedra Lavrada,PB,Cuité - Nova Floresta,PEDRA LAVRADA
Pedras de Fogo,PB,João Pessoa,PEDRAS DE FOGO
Pedro Régis,PB,Mamanguape - Rio Tinto,PEDRO REGIS
Piancó,PB,Itaporanga,PIANCO
Picuí,PB,Cuité - Nova Floresta,PICUI
Pilar,PB,João Pessoa,PILAR
Pilões,PB,Guarabira,PILOES
Pilõezinhos,PB,Guarabira,PILOEZINHOS
Pirpirituba,PB,Guarabira,PIRPIRITUBA
Pitimbu,PB,João Pessoa,PITIMBU
Pocinhos,PB,Campina Grande,POCINHOS
Poço Dantas,PB,Sousa,POCO DANTAS
Poço de José de Moura,PB,Cajazeiras,POCO DE JOSE DE MOURA
Pombal,PB,Pombal,POMBAL
Prata,PB,Monteiro,PRATA
Princesa Isabel,PB,Princesa Isabel,PRINCESA ISABEL
Puxinanã,PB,Campina Grande,PUXINANA
Queimadas,PB,Campina Grande,QUEIMADAS
Quixaba,PB,Patos,QUIXABA
Remígio,PB,Campina Grande,REMIGIO
Riachão,PB,Guarabira,RIACHAO
Riachão do Bacamarte,PB,Campina Grande,RIACHAO DO BACAMARTE
Riachão do Poço,PB,João Pessoa,RIACHAO DO POCO
Riacho de Santo Antônio,PB,Campina Grande,RIACHO DE SANTO ANTONIO
Riacho dos Cavalos,PB,Catolé do Rocha - São Bento,RIACHO DOS CAVALOS
Rio Tinto,PB,Mamanguape - Rio Tinto,RIO TINTO
Salgadinho,PB,Patos,SALGADINHO
Salgado de São Félix,PB,Itabaiana,SALGADO DE SAO FELIX
Santa Cecília,PB,Campina Grande,SANTA CECILIA
Santa Cruz,PB,Sousa,SANTA CRUZ
Santa Helena,PB,Cajazeiras,SANTA HELENA
Santa Inês,PB,Itaporanga,SANTA INES
Santa Luzia,PB,Patos,SANTA LUZIA
Santa Rita,PB,João Pessoa,SANTA RITA
Santa Teresinha,PB,Patos,SANTA TERESINHA
Santana de Mangueira,PB,Itaporanga,SANTANA DE MANGUEIRA
Santana dos Garrotes,PB,Itaporanga,SANTANA DOS GARROTES
Santo André,PB,Campina Grande,SANTO ANDRE
São Bentinho,PB,Pombal,SAO BENTINHO
São Bento,PB,Catolé do Rocha - São Bento,SAO BENTO
São Domingos,PB,Pombal,SAO DOMINGOS
São Domingos do Cariri,PB,Campina Grande,SAO DOMINGOS DO CARIRI
São Francisco,PB,Sousa,SAO FRANCISCO
São João do Cariri,PB,Campina Grande,SAO JOAO DO CARIRI
São João do Rio do Peixe,PB,Cajazeiras,SAO JOAO DO RIO DO PEIXE
São João do Tigre,PB,Monteiro,SAO JOAO DO TIGRE
São José da Lagoa Tapada,PB,Sousa,SAO JOSE DA LAGOA TAPADA
São José de Caiana,PB,Itaporanga,SAO JOSE DE CAIANA
São José de Espinharas,PB,Patos,SAO JOSE DE ESPINHARAS
São José de Piranhas,PB,Cajazeiras,SAO JOSE DE PIRANHAS
São José de Princesa,PB,Princesa Isabel,SAO JOSE DE PRINCESA
São José do Bonfim,PB,Patos,SAO JOSE DO BONFIM
São José do Brejo do Cruz,PB,Catolé do Rocha - São Bento,SAO JOSE DO BREJO DO CRUZ
São José do Sabugi,PB,Patos,SAO JOSE DO SABUGI
São José dos Cordeiros,PB,Sumé,SAO JOSE DOS CORDEIROS
São José dos Ramos,PB,Itabaiana,SAO JOSE DOS RAMOS
São Mamede,PB,Patos,SAO MAMEDE
São Miguel de Taipu,PB,João Pessoa,SAO MIGUEL DE TAIPU
São Sebastião de Lagoa de Roça,PB,Campina Grande,SAO SEBASTIAO DE LAGOA DE ROCA
São Sebastião do Umbuzeiro,PB,Monteiro,SAO SEBASTIAO DO UMBUZEIRO
São Vicente do Seridó,PB,Campina Grande,SAO VICENTE DO SERIDO
Sapé,PB,João Pessoa,SAPE
Serra Branca,PB,Sumé,SERRA BRANCA
Serra da Raiz,PB,Guarabira,SERRA DA RAIZ
Serra Grande,PB,Cajazeiras,SERRA GRANDE
Serra Redonda,PB,Campina Grande,SERRA REDONDA
Serraria,PB,Guarabira,SERRARIA
Sertãozinho,PB,Guarabira,SERTAOZINHO
Sobrado,PB,João Pessoa,SOBRADO
Solânea,PB,Guarabira,SOLANEA
Soledade,PB,Campina Grande,SOLEDADE
Sossêgo,PB,Cuité - Nova Floresta,SOSSEGO
Sousa,PB,Sousa,SOUSA
Sumé,PB,Sumé,SUME
Tacima,PB,Guarabira,TACIMA
Taperoá,PB,Campina Grande,TAPEROA
Tavares,PB,Princesa Isabel,TAVARES
Teixeira,PB,Patos,TEIXEIRA
Tenório,PB,Campina Grande,TENORIO
Triunfo,PB,Cajazeiras,TRIUNFO
Uiraúna,PB,Sousa,UIRAUNA
Umbuzeiro,PB,Campina Grande,UMBUZEIRO
Várzea,PB,Patos,VARZEA
Vieirópolis,PB,Sousa,VIEIROPOLIS
Vista Serrana,PB,Patos,VISTA SERRANA
Zabelê,PB,Monteiro,ZABELE
Abreu e Lima,PE,Recife,ABREU E LIMA
Afogados da Ingazeira,PE,Afogados da Ingazeira,AFOGADOS DA INGAZEIRA
Afrânio,PE,Petrolina,AFRANIO
Agrestina,PE,Caruaru,AGRESTINA
Água Preta,PE,Palmares,AGUA PRETA
Águas Belas,PE,Garanhuns,AGUAS BELAS
Alagoinha,PE,Belo Jardim ¿ Pesqueira,ALAGOINHA
Aliança,PE,Goiana ¿ Timbaúba,ALIANCA
Altinho,PE,Caruaru,ALTINHO
Amaraji,PE,Escada - Ribeirão,AMARAJI
Angelim,PE,Garanhuns,ANGELIM
Araçoiaba,PE,Recife,ARACOIABA
Araripina,PE,Araripina,ARARIPINA
Arcoverde,PE,Arcoverde,ARCOVERDE
Barra de Guabiraba,PE,Caruaru,BARRA DE GUABIRABA
Barreiros,PE,Barreiros - Sirinhaém,BARREIROS
Belém de Maria,PE,Palmares,BELEM DE MARIA
Belém do São Francisco,PE,Salgueiro,BELEM DO SAO FRANCISCO
Belo Jardim,PE,Belo Jardim ¿ Pesqueira,BELO JARDIM
Betânia,PE,Serra Talhada,BETANIA
Bezerros,PE,Caruaru,BEZERROS
Bodocó,PE,Araripina,BODOCO
Bom Conselho,PE,Garanhuns,BOM CONSELHO
Bom Jardim,PE,Limoeiro,BOM JARDIM
Bonito,PE,Caruaru,BONITO
Brejão,PE,Garanhuns,BREJAO
Brejinho,PE,Afogados da Ingazeira,BREJINHO
Brejo da Madre de Deus,PE,Caruaru,BREJO DA MADRE DE DEUS
Buenos Aires,PE,Carpina,BUENOS AIRES
Buíque,PE,Arcoverde,BUIQUE
Cabo de Santo Agostinho,PE,Recife,CABO DE SANTO AGOSTINHO
Cabrobó,PE,Salgueiro,CABROBO
Cachoeirinha,PE,Caruaru,CACHOEIRINHA
Caetés,PE,Garanhuns,CAETES
Calçado,PE,Garanhuns,CALCADO
Calumbi,PE,Serra Talhada,CALUMBI
Camaragibe,PE,Recife,CAMARAGIBE
Camocim de São Félix,PE,Caruaru,CAMOCIM DE SAO FELIX
Camutanga,PE,Goiana ¿ Timbaúba,CAMUTANGA
Canhotinho,PE,Garanhuns,CANHOTINHO
Capoeiras,PE,Garanhuns,CAPOEIRAS
Carnaíba,PE,Afogados da Ingazeira,CARNAIBA
Carnaubeira da Penha,PE,Serra Talhada,CARNAUBEIRA DA PENHA
Carpina,PE,Carpina,CARPINA
Caruaru,PE,Caruaru,CARUARU
Casinhas,PE,Surubim,CASINHAS
Catende,PE,Palmares,CATENDE
Cedro,PE,Salgueiro,CEDRO
Chã de Alegria,PE,Vitória de Santo Antão,CHA DE ALEGRIA
Chã Grande,PE,Caruaru,CHA GRANDE
Condado,PE,Goiana ¿ Timbaúba,CONDADO
Correntes,PE,Garanhuns,CORRENTES
Cortês,PE,Escada - Ribeirão,CORTES
Cumaru,PE,Caruaru,CUMARU
Cupira,PE,Caruaru,CUPIRA
Custódia,PE,Arcoverde,CUSTODIA
Dormentes,PE,Petrolina,DORMENTES
Escada,PE,Escada - Ribeirão,ESCADA
Exu,PE,Araripina,EXU
Feira Nova,PE,Limoeiro,FEIRA NOVA
Fernando de Noronha,PE,Recife,FERNANDO DE NORONHA
Ferreiros,PE,Goiana ¿ Timbaúba,FERREIROS
Flores,PE,Serra Talhada,FLORES
Floresta,PE,Serra Talhada,FLORESTA
Frei Miguelinho,PE,Surubim,FREI MIGUELINHO
Gameleira,PE,Palmares,GAMELEIRA
Garanhuns,PE,Garanhuns,GARANHUNS
Glória do Goitá,PE,Vitória de Santo Antão,GLORIA DO GOITA
Goiana,PE,Goiana ¿ Timbaúba,GOIANA
Granito,PE,Araripina,GRANITO
Gravatá,PE,Caruaru,GRAVATA
Iati,PE,Garanhuns,IATI
Ibimirim,PE,Arcoverde,IBIMIRIM
Ibirajuba,PE,Caruaru,IBIRAJUBA
Igarassu,PE,Recife,IGARASSU
Iguaracy,PE,Afogados da Ingazeira,IGUARACY
Ilha de Itamaracá,PE,Recife,ILHA DE ITAMARACA
Inajá,PE,Arcoverde,INAJA
Ingazeira,PE,Afogados da Ingazeira,INGAZEIRA
Ipojuca,PE,Recife,IPOJUCA
Ipubi,PE,Araripina,IPUBI
Itacuruba,PE,Salgueiro,ITACURUBA
Itaíba,PE,Arcoverde,ITAIBA
Itambé,PE,Goiana ¿ Timbaúba,ITAMBE
Itapetim,PE,Afogados da Ingazeira,ITAPETIM
Itapissuma,PE,Recife,ITAPISSUMA
Itaquitinga,PE,Goiana ¿ Timbaúba,ITAQUITINGA
Jaboatão dos Guararapes,PE,Recife,JABOATAO DOS GUARARAPES
Jaqueira,PE,Palmares,JAQUEIRA
Jataúba,PE,Caruaru,JATAUBA
Jatobá,PE,Serra Talhada,JATOBA
João Alfredo,PE,Limoeiro,JOAO ALFREDO
Joaquim Nabuco,PE,Palmares,JOAQUIM NABUCO
Jucati,PE,Garanhuns,JUCATI
Jupi,PE,Garanhuns,JUPI
Jurema,PE,Garanhuns,JUREMA
Lagoa de Itaenga,PE,Carpina,LAGOA DE ITAENGA
Lagoa do Carro,PE,Carpina,LAGOA DO CARRO
Lagoa do Ouro,PE,Garanhuns,LAGOA DO OURO
Lagoa dos Gatos,PE,Caruaru,LAGOA DOS GATOS
Lagoa Grande,PE,Petrolina,LAGOA GRANDE
Lajedo,PE,Garanhuns,LAJEDO
Limoeiro,PE,Limoeiro,LIMOEIRO
Macaparana,PE,Goiana ¿ Timbaúba,MACAPARANA
Machados,PE,Limoeiro,MACHADOS
Manari,PE,Arcoverde,MANARI
Maraial,PE,Palmares,MARAIAL
Mirandiba,PE,Serra Talhada,MIRANDIBA
Moreilândia,PE,Araripina,MOREILANDIA
Moreno,PE,Recife,MORENO
Nazaré da Mata,PE,Carpina,NAZARE DA MATA
Olinda,PE,Recife,OLINDA
Orobó,PE,Limoeiro,OROBO
Orocó,PE,Petrolina,OROCO
Ouricuri,PE,Araripina,OURICURI
Palmares,PE,Palmares,PALMARES
Palmeirina,PE,Garanhuns,PALMEIRINA
Panelas,PE,Caruaru,PANELAS
Paranatama,PE,Garanhuns,PARANATAMA
Parnamirim,PE,Salgueiro,PARNAMIRIM
Passira,PE,Limoeiro,PASSIRA
Paudalho,PE,Recife,PAUDALHO
Paulista,PE,Recife,PAULISTA
Pedra,PE,Arcoverde,PEDRA
Pesqueira,PE,Belo Jardim ¿ Pesqueira,PESQUEIRA
Petrolândia,PE,Serra Talhada,PETROLANDIA
Petrolina,PE,Petrolina,PETROLINA
Poção,PE,Belo Jardim ¿ Pesqueira,POCAO
Pombos,PE,Vitória de Santo Antão,POMBOS
Primavera,PE,Escada - Ribeirão,PRIMAVERA
Quipapá,PE,Garanhuns,QUIPAPA
Quixaba,PE,Afogados da Ingazeira,QUIXABA
Recife,PE,Recife,RECIFE
Riacho das Almas,PE,Caruaru,RIACHO DAS ALMAS
Ribeirão,PE,Escada - Ribeirão,RIBEIRAO
Rio Formoso,PE,Barreiros - Sirinhaém,RIO FORMOSO
Sairé,PE,Caruaru,SAIRE
Salgadinho,PE,Limoeiro,SALGADINHO
Salgueiro,PE,Salgueiro,SALGUEIRO
Saloá,PE,Garanhuns,SALOA
Sanharó,PE,Belo Jardim ¿ Pesqueira,SANHARO
Santa Cruz,PE,Araripina,SANTA CRUZ
Santa Cruz da Baixa Verde,PE,Serra Talhada,SANTA CRUZ DA BAIXA VERDE
Santa Cruz do Capibaribe,PE,Caruaru,SANTA CRUZ DO CAPIBARIBE
Santa Filomena,PE,Araripina,SANTA FILOMENA
Santa Maria da Boa Vista,PE,Petrolina,SANTA MARIA DA BOA VISTA
Santa Maria do Cambucá,PE,Surubim,SANTA MARIA DO CAMBUCA
Santa Terezinha,PE,Afogados da Ingazeira,SANTA TEREZINHA
São Benedito do Sul,PE,Palmares,SAO BENEDITO DO SUL
São Bento do Una,PE,Belo Jardim ¿ Pesqueira,SAO BENTO DO UNA
São Caitano,PE,Caruaru,SAO CAITANO
São João,PE,Garanhuns,SAO JOAO
São Joaquim do Monte,PE,Caruaru,SAO JOAQUIM DO MONTE
São José da Coroa Grande,PE,Barreiros - Sirinhaém,SAO JOSE DA COROA GRANDE
São José do Belmonte,PE,Serra Talhada,SAO JOSE DO BELMONTE
São José do Egito,PE,Afogados da Ingazeira,SAO JOSE DO EGITO
São Lourenço da Mata,PE,Recife,SAO LOURENCO DA MATA
São Vicente Férrer,PE,Goiana ¿ Timbaúba,SAO VICENTE FERRER
Serra Talhada,PE,Serra Talhada,SERRA TALHADA
Serrita,PE,Salgueiro,SERRITA
Sertânia,PE,Arcoverde,SERTANIA
Sirinhaém,PE,Barreiros - Sirinhaém,SIRINHAEM
Solidão,PE,Afogados da Ingazeira,SOLIDAO
Surubim,PE,Surubim,SURUBIM
Tabira,PE,Afogados da Ingazeira,TABIRA
Tacaimbó,PE,Belo Jardim ¿ Pesqueira,TACAIMBO
Tacaratu,PE,Serra Talhada,TACARATU
Tamandaré,PE,Barreiros - Sirinhaém,TAMANDARE
Taquaritinga do Norte,PE,Caruaru,TAQUARITINGA DO NORTE
Terezinha,PE,Garanhuns,TEREZINHA
Terra Nova,PE,Salgueiro,TERRA NOVA
Timbaúba,PE,Goiana ¿ Timbaúba,TIMBAUBA
Toritama,PE,Caruaru,TORITAMA
Tracunhaém,PE,Carpina,TRACUNHAEM
Trindade,PE,Araripina,TRINDADE
Triunfo,PE,Serra Talhada,TRIUNFO
Tupanatinga,PE,Arcoverde,TUPANATINGA
Tuparetama,PE,Afogados da Ingazeira,TUPARETAMA
Venturosa,PE,Arcoverde,VENTUROSA
Verdejante,PE,Salgueiro,VERDEJANTE
Vertente do Lério,PE,Surubim,VERTENTE DO LERIO
Vertentes,PE,Surubim,VERTENTES
Vicência,PE,Goiana ¿ Timbaúba,VICENCIA
Vitória de Santo Antão,PE,Vitória de Santo Antão,VITORIA DE SANTO ANTAO
Xexéu,PE,Palmares,XEXEU
Água Branca,AL,Delmiro Gouveia,AGUA BRANCA
Anadia,AL,São Miguel dos Campos,ANADIA
Arapiraca,AL,Arapiraca,ARAPIRACA
Atalaia,AL,Atalaia,ATALAIA
Barra de Santo Antônio,AL,Maceió,BARRA DE SANTO ANTONIO
Barra de São Miguel,AL,Maceió,BARRA DE SAO MIGUEL
Batalha,AL,Pão de Açúcar - Olho d'Água das Flores ¿ Batalha,BATALHA
Belém,AL,Palmeira dos Índios,BELEM
Belo Monte,AL,Pão de Açúcar - Olho d'Água das Flores ¿ Batalha,BELO MONTE
Boca da Mata,AL,São Miguel dos Campos,BOCA DA MATA
Branquinha,AL,União dos Palmares,BRANQUINHA
Cacimbinhas,AL,Palmeira dos Índios,CACIMBINHAS
Cajueiro,AL,Atalaia,CAJUEIRO
Campestre,AL,Porto Calvo - São Luís do Quitunde,CAMPESTRE
Campo Alegre,AL,São Miguel dos Campos,CAMPO ALEGRE
Campo Grande,AL,Arapiraca,CAMPO GRANDE
Canapi,AL,Santana do Ipanema,CANAPI
Capela,AL,Atalaia,CAPELA
Carneiros,AL,Santana do Ipanema,CARNEIROS
Chã Preta,AL,Atalaia,CHA PRETA
Coité do Nóia,AL,Arapiraca,COITE DO NOIA
Colônia Leopoldina,AL,Porto Calvo - São Luís do Quitunde,COLONIA LEOPOLDINA
Coqueiro Seco,AL,Maceió,COQUEIRO SECO
Coruripe,AL,Penedo,CORURIPE
Craíbas,AL,Arapiraca,CRAIBAS
Delmiro Gouveia,AL,Delmiro Gouveia,DELMIRO GOUVEIA
Dois Riachos,AL,Santana do Ipanema,DOIS RIACHOS
Estrela de Alagoas,AL,Palmeira dos Índios,ESTRELA DE ALAGOAS
Feira Grande,AL,Arapiraca,FEIRA GRANDE
Feliz Deserto,AL,Penedo,FELIZ DESERTO
Flexeiras,AL,Maceió,FLEXEIRAS
Girau do Ponciano,AL,Arapiraca,GIRAU DO PONCIANO
Ibateguara,AL,União dos Palmares,IBATEGUARA
Igaci,AL,Palmeira dos Índios,IGACI
Igreja Nova,AL,Penedo,IGREJA NOVA
Inhapi,AL,Delmiro Gouveia,INHAPI
Jacaré dos Homens,AL,Pão de Açúcar - Olho d'Água das Flores ¿ Batalha,JACARE DOS HOMENS
Jacuípe,AL,Porto Calvo - São Luís do Quitunde,JACUIPE
Japaratinga,AL,Porto Calvo - São Luís do Quitunde,JAPARATINGA
Jaramataia,AL,Arapiraca,JARAMATAIA
Jequiá da Praia,AL,São Miguel dos Campos,JEQUIA DA PRAIA
Joaquim Gomes,AL,Maceió,JOAQUIM GOMES
Jundiá,AL,Porto Calvo - São Luís do Quitunde,JUNDIA
Junqueiro,AL,Arapiraca,JUNQUEIRO
Lagoa da Canoa,AL,Arapiraca,LAGOA DA CANOA
Limoeiro de Anadia,AL,Arapiraca,LIMOEIRO DE ANADIA
Maceió,AL,Maceió,MACEIO
Major Isidoro,AL,Palmeira dos Índios,MAJOR ISIDORO
Mar Vermelho,AL,Atalaia,MAR VERMELHO
Maragogi,AL,Porto Calvo - São Luís do Quitunde,MARAGOGI
Maravilha,AL,Santana do Ipanema,MARAVILHA
Marechal Deodoro,AL,Maceió,MARECHAL DEODORO
Maribondo,AL,Arapiraca,MARIBONDO
Mata Grande,AL,Delmiro Gouveia,MATA GRANDE
Matriz de Camaragibe,AL,Porto Calvo - São Luís do Quitunde,MATRIZ DE CAMARAGIBE
Messias,AL,Maceió,MESSIAS
Minador do Negrão,AL,Palmeira dos Índios,MINADOR DO NEGRAO
Monteirópolis,AL,Pão de Açúcar - Olho d'Água das Flores ¿ Batalha,MONTEIROPOLIS
Murici,AL,União dos Palmares,MURICI
Novo Lino,AL,Porto Calvo - São Luís do Quitunde,NOVO LINO
Olho d'Água das Flores,AL,Pão de Açúcar - Olho d'Água das Flores ¿ Batalha,OLHO DAGUA DAS FLORES
Olho d'Água do Casado,AL,Delmiro Gouveia,OLHO DAGUA DO CASADO
Olho d'Água Grande,AL,Arapiraca,OLHO DAGUA GRANDE
Olivença,AL,Santana do Ipanema,OLIVENCA
Ouro Branco,AL,Santana do Ipanema,OURO BRANCO
Palestina,AL,Pão de Açúcar - Olho d'Água das Flores ¿ Batalha,PALESTINA
Palmeira dos Índios,AL,Palmeira dos Índios,PALMEIRA DOS INDIOS
Pão de Açúcar,AL,Pão de Açúcar - Olho d'Água das Flores ¿ Batalha,PAO DE ACUCAR
Pariconha,AL,Delmiro Gouveia,PARICONHA
Paripueira,AL,Maceió,PARIPUEIRA
Passo de Camaragibe,AL,Porto Calvo - São Luís do Quitunde,PASSO DE CAMARAGIBE
Paulo Jacinto,AL,Palmeira dos Índios,PAULO JACINTO
Penedo,AL,Penedo,PENEDO
Piaçabuçu,AL,Penedo,PIACABUCU
Pilar,AL,Maceió,PILAR
Pindoba,AL,Atalaia,PINDOBA
Piranhas,AL,Delmiro Gouveia,PIRANHAS
Poço das Trincheiras,AL,Santana do Ipanema,POCO DAS TRINCHEIRAS
Porto Calvo,AL,Porto Calvo - São Luís do Quitunde,PORTO CALVO
Porto de Pedras,AL,Porto Calvo - São Luís do Quitunde,PORTO DE PEDRAS
Porto Real do Colégio,AL,Penedo,PORTO REAL DO COLEGIO
Quebrangulo,AL,Palmeira dos Índios,QUEBRANGULO
Rio Largo,AL,Maceió,RIO LARGO
Roteiro,AL,São Miguel dos Campos,ROTEIRO
Santa Luzia do Norte,AL,Maceió,SANTA LUZIA DO NORTE
Santana do Ipanema,AL,Santana do Ipanema,SANTANA DO IPANEMA
Santana do Mundaú,AL,União dos Palmares,SANTANA DO MUNDAU
São Brás,AL,Penedo,SAO BRAS
São José da Laje,AL,União dos Palmares,SAO JOSE DA LAJE
São José da Tapera,AL,Pão de Açúcar - Olho d'Água das Flores ¿ Batalha,SAO JOSE DA TAPERA
São Luís do Quitunde,AL,Porto Calvo - São Luís do Quitunde,SAO LUIS DO QUITUNDE
São Miguel dos Campos,AL,São Miguel dos Campos,SAO MIGUEL DOS CAMPOS
São Miguel dos Milagres,AL,Porto Calvo - São Luís do Quitunde,SAO MIGUEL DOS MILAGRES
São Sebastião,AL,Arapiraca,SAO SEBASTIAO
Satuba,AL,Maceió,SATUBA
Senador Rui Palmeira,AL,Santana do Ipanema,SENADOR RUI PALMEIRA
Tanque d'Arca,AL,Arapiraca,TANQUE DARCA
Taquarana,AL,Arapiraca,TAQUARANA
Teotônio Vilela,AL,Arapiraca,TEOTONIO VILELA
Traipu,AL,Arapiraca,TRAIPU
União dos Palmares,AL,União dos Palmares,UNIAO DOS PALMARES
Viçosa,AL,Atalaia,VICOSA
Amparo do São Francisco,SE,Propriá,AMPARO DO SAO FRANCISCO
Aquidabã,SE,Propriá,AQUIDABA
Aracaju,SE,Aracaju,ARACAJU
Arauá,SE,Estância,ARAUA
Areia Branca,SE,Itabaiana,AREIA BRANCA
Barra dos Coqueiros,SE,Aracaju,BARRA DOS COQUEIROS
Boquim,SE,Estância,BOQUIM
Brejo Grande,SE,Propriá,BREJO GRANDE
Campo do Brito,SE,Itabaiana,CAMPO DO BRITO
Canhoba,SE,Propriá,CANHOBA
Canindé de São Francisco,SE,Nossa Senhora da Glória,CANINDE DE SAO FRANCISCO
Capela,SE,Aracaju,CAPELA
Carira,SE,Itabaiana,CARIRA
Carmópolis,SE,Aracaju,CARMOPOLIS
Cedro de São João,SE,Propriá,CEDRO DE SAO JOAO
Cristinápolis,SE,Estância,CRISTINAPOLIS
Cumbe,SE,Aracaju,CUMBE
